Upstream	Downstream
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBC
PSMA1	UBA52
PSMA1	RPS27A
PSMA1	UBB
PSMA1	UBB
PSMA1	UBC
PSMA1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBA52
PSMB1	RPS27A
PSMB1	UBB
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	ORC1
PSMB1	UBC
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBA52
PSMB1	RPS27A
PSMB1	UBB
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBC
PSMB1	UBA52
PSMB1	RPS27A
PSMB1	UBB
PSMB1	UBB
PSMB1	UBC
PSMB1	UBC
PSMB1	CDC6
PSMB1	UBC
